sale_id,employee_id,product,category,amount,quantity,sale_date,region
1,1,Mouse,Accessories,1239,1,2024-12-31,North
2,1,Chair,Furniture,29475,5,2024-08-25,North
3,1,Phone,Electronics,93157,3,2024-10-16,North
4,1,Mouse,Accessories,6333,4,2024-10-07,East
5,1,Headphones,Accessories,16049,5,2024-12-01,West
6,1,Chair,Furniture,4915,1,2024-08-29,South
7,1,Headphones,Accessories,5526,2,2024-08-21,East
8,1,Printer,Electronics,37596,3,2024-08-08,East
9,1,Printer,Electronics,12049,1,2024-09-28,East
10,1,Monitor,Electronics,13163,1,2024-08-17,North
11,1,Chair,Furniture,22913,5,2024-09-29,South
12,2,Keyboard,Accessories,2090,1,2023-05-21,North
13,2,Chair,Furniture,8802,2,2020-01-19,West
14,2,Keyboard,Accessories,6925,4,2021-01-05,South
15,2,Table,Furniture,54117,4,2021-07-24,North
16,2,Headphones,Accessories,10691,4,2021-12-06,East
17,2,Tablet,Electronics,114460,5,2023-09-09,North
18,2,Tablet,Electronics,57688,3,2024-10-18,North
19,2,Laptop,Electronics,80799,1,2024-07-05,North
20,2,Table,Furniture,29015,2,2020-07-25,West
21,3,Printer,Electronics,51361,3,2024-08-02,West
22,3,Desk,Furniture,30196,3,2024-08-23,North
23,3,Monitor,Electronics,32946,3,2023-12-30,South
24,3,Chair,Furniture,19517,4,2024-05-12,North
25,3,Printer,Electronics,47950,3,2023-08-28,North
26,3,Phone,Electronics,52878,2,2024-06-02,South
27,3,Printer,Electronics,32566,2,2023-07-13,West
28,3,Headphones,Accessories,15226,5,2023-12-29,West
29,3,Keyboard,Accessories,3325,2,2023-10-18,East
30,4,Printer,Electronics,14910,1,2021-08-05,South
31,4,Printer,Electronics,36571,3,2021-09-12,East
32,4,Table,Furniture,60916,5,2024-11-16,South
33,4,Sofa,Furniture,113277,4,2024-02-03,West
34,4,Desk,Furniture,31884,3,2022-05-06,South
35,4,Desk,Furniture,18227,2,2020-12-13,South
36,4,Mouse,Accessories,6208,5,2021-05-28,South
37,4,Monitor,Electronics,10522,1,2022-04-07,South
38,5,Tablet,Electronics,19655,1,2023-09-19,North
39,5,Headphones,Accessories,7608,3,2024-05-01,East
40,5,Desk,Furniture,56718,5,2024-09-07,South
41,5,Sofa,Furniture,29706,1,2023-11-02,North
42,5,Monitor,Electronics,11875,1,2023-08-30,East
43,5,Desk,Furniture,36347,4,2022-12-08,West
44,5,Laptop,Electronics,60560,1,2022-08-27,East
45,5,Tablet,Electronics,52664,3,2024-06-06,West
46,5,Desk,Furniture,50900,5,2023-01-31,North
47,5,Sofa,Furniture,23174,1,2024-11-15,South
48,5,Laptop,Electronics,229183,4,2023-12-17,West
49,6,Mouse,Accessories,3791,3,2026-02-21,West
50,6,Tablet,Electronics,65968,3,2026-02-21,South
51,6,Table,Furniture,67966,4,2026-02-21,East
52,6,Table,Furniture,53671,3,2026-02-21,South
53,6,Chair,Furniture,23691,5,2026-02-21,East
54,6,Chair,Furniture,5147,1,2026-02-21,East
55,7,Keyboard,Accessories,8421,5,2020-04-29,North
56,7,Monitor,Electronics,41172,3,2023-07-15,East
57,7,Mouse,Accessories,3004,2,2022-03-25,North
58,7,Headphones,Accessories,7163,2,2023-08-05,South
59,7,Table,Furniture,17079,1,2024-12-19,North
60,7,Desk,Furniture,9805,1,2022-01-09,South
61,7,Chair,Furniture,9379,2,2024-07-30,West
62,7,Mouse,Accessories,1365,1,2021-06-28,East
63,8,Printer,Electronics,15957,1,2025-04-23,East
64,8,Headphones,Accessories,9632,4,2025-04-23,East
65,8,Phone,Electronics,53089,2,2025-04-23,East
66,8,Mouse,Accessories,6917,4,2025-04-23,South
67,8,Phone,Electronics,123860,5,2025-04-23,East
68,8,Mouse,Accessories,6383,4,2025-04-23,East
69,8,Mouse,Accessories,2657,2,2025-04-23,West
70,8,Table,Furniture,34384,2,2025-04-23,South
71,8,Headphones,Accessories,6293,2,2025-04-23,West
72,8,Tablet,Electronics,65959,4,2025-04-23,East
73,9,Mouse,Accessories,3151,2,2024-09-03,North
74,9,Mouse,Accessories,6361,4,2024-11-24,East
75,9,Sofa,Furniture,67888,3,2024-12-24,South
76,9,Printer,Electronics,67181,5,2024-09-01,East
77,9,Mouse,Accessories,6140,5,2024-09-15,North
78,10,Monitor,Electronics,35613,3,2025-03-11,North
79,10,Desk,Furniture,28903,3,2025-03-11,East
80,10,Keyboard,Accessories,4304,2,2025-03-11,South
81,10,Tablet,Electronics,69783,4,2025-03-11,North
82,10,Monitor,Electronics,53666,4,2025-03-11,East
83,10,Sofa,Furniture,27843,1,2025-03-11,East
84,10,Mouse,Accessories,8555,5,2025-03-11,West
85,10,Printer,Electronics,17371,1,2025-03-11,South
86,10,Printer,Electronics,30321,2,2025-03-11,North
87,10,Phone,Electronics,130696,4,2025-03-11,East
88,10,Printer,Electronics,64614,5,2025-03-11,East
89,11,Printer,Electronics,51928,3,2024-11-13,North
90,11,Printer,Electronics,88817,5,2022-11-23,South
91,11,Desk,Furniture,27564,3,2023-01-01,South
92,11,Sofa,Furniture,47318,2,2023-04-03,South
93,11,Table,Furniture,24094,2,2024-11-13,South
94,11,Desk,Furniture,47774,5,2022-12-29,South
95,11,Monitor,Electronics,22523,2,2024-05-04,South
96,11,Phone,Electronics,72525,3,2024-12-20,East
97,11,Printer,Electronics,17416,1,2023-05-09,East
98,12,Desk,Furniture,44754,4,2022-01-25,West
99,12,Chair,Furniture,8924,2,2021-08-24,South
100,12,Chair,Furniture,10797,2,2020-10-03,North
101,12,Printer,Electronics,33598,2,2020-06-03,East
102,12,Monitor,Electronics,38792,3,2022-09-04,East
103,12,Keyboard,Accessories,4936,3,2022-06-22,West
104,12,Table,Furniture,15206,1,2022-01-25,South
105,12,Headphones,Accessories,3343,1,2020-10-02,North
106,12,Headphones,Accessories,16867,5,2022-06-19,East
107,12,Sofa,Furniture,106348,4,2020-12-24,West
108,12,Printer,Electronics,29625,2,2021-10-27,South
109,12,Mouse,Accessories,4204,3,2022-05-22,North
110,12,Phone,Electronics,116202,4,2020-06-15,South
111,12,Monitor,Electronics,13844,1,2024-06-29,North
112,12,Headphones,Accessories,8645,3,2024-10-12,South
113,13,Phone,Electronics,35287,1,2025-09-19,East
114,13,Printer,Electronics,60280,4,2025-09-19,South
115,13,Chair,Furniture,5370,1,2025-09-19,West
116,13,Table,Furniture,13860,1,2025-09-19,West
117,13,Chair,Furniture,10994,2,2025-09-19,West
118,13,Sofa,Furniture,114109,5,2025-09-19,South
119,13,Headphones,Accessories,3137,1,2025-09-19,North
120,13,Monitor,Electronics,26556,2,2025-09-19,South
121,14,Tablet,Electronics,71669,4,2023-11-04,West
122,14,Desk,Furniture,18242,2,2022-04-28,North
123,14,Laptop,Electronics,296343,5,2022-10-11,North
124,14,Table,Furniture,13776,1,2022-05-04,South
125,14,Headphones,Accessories,9681,4,2022-09-12,South
126,14,Keyboard,Accessories,5663,3,2022-07-19,East
127,14,Mouse,Accessories,6310,4,2023-07-12,West
128,14,Chair,Furniture,12794,3,2023-08-22,East
129,14,Laptop,Electronics,390827,5,2023-11-21,West
130,14,Mouse,Accessories,5231,3,2024-01-16,East
131,15,Mouse,Accessories,6783,5,2023-08-01,South
132,15,Chair,Furniture,8779,2,2023-03-19,East
133,15,Monitor,Electronics,54183,4,2022-01-06,West
134,15,Phone,Electronics,28463,1,2022-09-29,West
135,15,Tablet,Electronics,91381,5,2021-11-15,East
136,15,Table,Furniture,16177,1,2020-08-01,North
137,15,Laptop,Electronics,115726,2,2020-01-24,North
138,15,Keyboard,Accessories,1968,1,2022-07-15,East
139,15,Headphones,Accessories,8973,3,2024-05-21,South
140,15,Chair,Furniture,16272,3,2020-10-13,West
141,15,Chair,Furniture,17449,3,2022-01-31,East
142,16,Table,Furniture,76912,5,2023-06-07,West
143,16,Monitor,Electronics,49699,4,2023-07-04,East
144,16,Printer,Electronics,14809,1,2021-11-08,West
145,16,Chair,Furniture,11072,2,2021-08-26,West
146,16,Laptop,Electronics,123541,2,2023-11-09,North
147,16,Mouse,Accessories,2773,2,2024-05-10,West
148,16,Chair,Furniture,12291,3,2022-12-18,North
149,16,Chair,Furniture,9543,2,2021-09-09,South
150,16,Sofa,Furniture,148803,5,2021-05-07,East
151,16,Chair,Furniture,16456,3,2024-08-05,South
152,16,Keyboard,Accessories,7921,4,2021-12-03,North
153,16,Chair,Furniture,29493,5,2023-01-27,North
154,16,Monitor,Electronics,9652,1,2023-06-21,West
155,16,Sofa,Furniture,55595,2,2022-12-30,East
156,16,Table,Furniture,52758,4,2022-12-16,North
157,17,Tablet,Electronics,34267,2,2019-04-02,North
158,17,Table,Furniture,14409,1,2022-01-20,North
159,17,Desk,Furniture,44244,5,2023-12-16,North
160,17,Laptop,Electronics,139823,2,2020-02-15,North
161,17,Tablet,Electronics,82109,4,2020-08-20,West
162,17,Laptop,Electronics,77938,1,2020-09-01,West
163,17,Laptop,Electronics,61988,1,2024-09-05,South
164,17,Headphones,Accessories,14156,4,2020-11-03,East
165,17,Phone,Electronics,33605,1,2020-02-14,North
166,17,Chair,Furniture,9799,2,2022-11-12,East
167,17,Monitor,Electronics,54005,4,2024-11-08,North
168,17,Desk,Furniture,26684,3,2019-12-27,North
169,17,Chair,Furniture,4478,1,2022-08-30,East
170,18,Laptop,Electronics,227762,4,2024-03-12,South
171,18,Monitor,Electronics,28701,2,2024-08-11,East
172,18,Sofa,Furniture,83459,4,2024-04-18,South
173,18,Desk,Furniture,40645,4,2024-08-27,South
174,18,Chair,Furniture,14877,3,2023-01-23,North
175,19,Chair,Furniture,13379,3,2019-09-13,South
176,19,Keyboard,Accessories,9290,4,2024-01-04,East
177,19,Headphones,Accessories,8221,3,2019-06-27,South
178,19,Chair,Furniture,4459,1,2019-02-08,South
179,19,Mouse,Accessories,7657,5,2019-10-15,East
180,19,Tablet,Electronics,35507,2,2022-01-22,North
181,19,Chair,Furniture,28903,5,2024-10-14,East
182,19,Phone,Electronics,111527,4,2024-02-13,South
183,19,Mouse,Accessories,1694,1,2023-05-09,East
184,19,Mouse,Accessories,4451,3,2023-03-09,West
185,19,Printer,Electronics,40018,3,2020-06-26,East
186,19,Table,Furniture,71639,5,2021-09-11,East
187,20,Mouse,Accessories,6258,4,2023-07-13,East
188,20,Sofa,Furniture,116136,4,2024-11-27,East
189,20,Chair,Furniture,9095,2,2023-06-13,South
190,20,Tablet,Electronics,32655,2,2023-12-06,West
191,20,Phone,Electronics,81674,3,2024-10-31,West
192,20,Printer,Electronics,65884,4,2023-04-11,West
193,20,Desk,Furniture,40318,5,2024-02-24,East
194,20,Laptop,Electronics,133587,2,2022-07-20,North
195,20,Sofa,Furniture,98705,4,2023-04-28,East
196,20,Desk,Furniture,11913,1,2023-08-09,South
197,20,Mouse,Accessories,1612,1,2022-12-26,North
198,20,Printer,Electronics,53458,3,2023-09-02,West
199,20,Table,Furniture,80483,5,2024-10-14,West
200,20,Headphones,Accessories,3551,1,2022-06-28,East
201,21,Chair,Furniture,4955,1,2024-12-31,West
202,21,Chair,Furniture,23718,4,2023-07-02,East
203,21,Monitor,Electronics,55898,4,2022-02-26,East
204,21,Table,Furniture,61010,4,2022-03-08,North
205,21,Chair,Furniture,5143,1,2023-06-07,West
206,21,Tablet,Electronics,91637,4,2023-04-19,East
207,22,Sofa,Furniture,90324,4,2024-12-29,North
208,22,Table,Furniture,25375,2,2023-12-14,East
209,22,Mouse,Accessories,6580,5,2024-01-10,West
210,22,Sofa,Furniture,97547,4,2024-08-02,West
211,22,Keyboard,Accessories,9383,4,2023-12-22,East
212,22,Headphones,Accessories,9770,3,2024-09-18,North
213,22,Mouse,Accessories,4412,3,2024-01-17,West
214,22,Chair,Furniture,10762,2,2023-08-08,East
215,22,Laptop,Electronics,314847,4,2024-02-28,West
216,22,Table,Furniture,84192,5,2024-03-23,South
217,22,Monitor,Electronics,27344,2,2024-12-08,West
218,22,Printer,Electronics,13599,1,2023-12-15,East
219,22,Chair,Furniture,19159,4,2023-09-12,West
220,22,Sofa,Furniture,46647,2,2023-09-13,West
221,22,Keyboard,Accessories,5760,3,2023-09-01,South
222,23,Monitor,Electronics,42741,4,2020-02-01,North
223,23,Table,Furniture,76017,5,2023-08-19,South
224,23,Mouse,Accessories,4748,3,2018-12-07,South
225,23,Keyboard,Accessories,4966,3,2023-12-28,West
226,23,Phone,Electronics,89064,3,2023-09-28,East
227,23,Table,Furniture,66406,4,2020-12-25,North
228,23,Printer,Electronics,57856,4,2021-06-10,North
229,24,Sofa,Furniture,73789,3,2023-10-21,East
230,24,Chair,Furniture,8548,2,2022-12-19,North
231,24,Desk,Furniture,52757,5,2022-01-31,North
232,24,Chair,Furniture,21808,4,2024-06-24,South
233,24,Sofa,Furniture,28488,1,2023-01-06,West
234,24,Phone,Electronics,126628,4,2021-02-24,North
235,24,Phone,Electronics,177586,5,2020-06-03,South
236,24,Chair,Furniture,4178,1,2021-06-23,East
237,24,Table,Furniture,48622,3,2020-09-25,West
238,24,Chair,Furniture,22882,5,2020-03-16,West
239,24,Sofa,Furniture,26263,1,2024-03-26,North
240,24,Headphones,Accessories,3089,1,2023-05-30,East
241,24,Table,Furniture,48760,4,2022-10-10,North
242,24,Chair,Furniture,27121,5,2024-02-20,North
243,25,Table,Furniture,45805,3,2024-05-23,East
244,25,Table,Furniture,75469,5,2024-10-29,West
245,25,Keyboard,Accessories,10507,5,2024-01-20,South
246,25,Table,Furniture,86079,5,2023-04-24,South
247,25,Desk,Furniture,8485,1,2024-01-10,West
